"","id","name","parameters_id","datetime_first_utc","datetime_first_local","datetime_last_utc","datetime_last_local","min","max","avg","expected_count","expected_interval","observed_count","observed_interval","percent_complete","percent_coverage","latest_value","latest_datetime","latest_latitude","latest_longitude"
"1072",7774488,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,409,16.7196944536699,1,"01:00:00",7735,"7735:00:00",773500,773500,18,2025-08-30 02:00:00,38.9943889997187,1.31013899956514
"1073",7773879,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,162,7.83746060333183,1,"01:00:00",5981,"5981:00:00",598100,598100,10,2025-08-30 02:00:00,39.5712499997646,2.65702800014849
"1074",7774454,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,150,19.6704238052299,1,"01:00:00",6406,"6406:00:00",640600,640600,13,2025-08-30 02:00:00,39.5712499997646,2.65702800014849
"1075",7775293,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,1003,15.3037245748583,1,"01:00:00",7301,"7301:00:00",730100,730100,17,2025-08-30 05:00:00,39.564528000249,2.6216940000379
"1076",7773717,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,588,21.6931713973799,1,"01:00:00",5432,"5432:00:00",543200,543200,9,2025-08-30 02:00:00,40.010610999753,3.85758300042411
"1077",7775821,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,109,9.43713351498638,1,"01:00:00",5490,"5490:00:00",549000,549000,4,2025-08-30 02:00:00,40.010610999753,3.85758300042411
"1078",8622679,"pm10 µg/m³",1,2024-03-18 07:00:00,2024-03-18 08:00:00,2025-08-30 01:00:00,2025-08-30 03:00:00,-1,409,18.3231146535868,1,"01:00:00",6351,"6351:00:00",635100,635100,34,2025-08-30 01:00:00,38.9943889997187,1.31013899956514
"1079",7772713,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,528,11.1552775104267,1,"01:00:00",5150,"5150:00:00",515000,515000,27,2025-08-29 04:00:00,38.9358029997575,1.43290799987776
"1080",7774973,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,439,11.3956535634388,1,"01:00:00",5209,"5209:00:00",520900,520900,26,2025-08-29 04:00:00,38.9150279999045,1.41541699999872
"1081",7773000,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,285,13.2578018995929,1,"01:00:00",7476,"7476:00:00",747600,747600,11,2025-08-29 04:00:00,39.6788330003345,2.68777799977216
